Label,GlassNr,Time,SensorNr,Identifier,Interval,Measurement,Iteration
Nersalen LPDE,1,4482243,4,Upper,1,1000732.94,1
Nersalen LPDE,1,4482251,5,Upper,1,1044365.13,1
Nersalen LPDE,1,4482260,6,Upper,1,867245.37,1
Nersalen LPDE,1,4482268,7,Upper,1,899824.25,1
Nersalen LPDE,1,4482277,0,Upper,2,896280.06,1
Nersalen LPDE,1,4482285,1,Upper,2,1192083.87,1
Nersalen LPDE,1,4482294,2,Upper,2,897458.37,1
Nersalen LPDE,1,4482302,3,Upper,2,1066389.00,1
Nersalen LPDE,1,4482311,4,Upper,2,1004413.94,1
Nersalen LPDE,1,4482319,5,Upper,2,1039593.94,1
Nersalen LPDE,1,4482328,6,Upper,2,857441.94,1
Nersalen LPDE,1,4482336,7,Upper,2,902799.19,1
Nersalen LPDE,1,4482345,0,Upper,3,885238.81,1
Nersalen LPDE,1,4482353,1,Upper,3,1176673.37,1
Nersalen LPDE,1,4482362,2,Upper,3,897458.37,1
Nersalen LPDE,1,4482370,3,Upper,3,1062240.62,1
Nersalen LPDE,1,4482379,4,Upper,3,1003675.56,1
Nersalen LPDE,1,4482387,5,Upper,3,1031738.06,1
Nersalen LPDE,1,4482396,6,Upper,3,860685.00,1
Nersalen LPDE,1,4482404,7,Upper,3,907600.25,1
Nersalen LPDE,1,4482413,0,Upper,4,892763.75,1
Nersalen LPDE,1,4482421,1,Upper,4,1175660.12,1
Nersalen LPDE,1,4482430,2,Upper,4,898048.69,1
Nersalen LPDE,1,4482438,3,Upper,4,1058945.25,1
Nersalen LPDE,1,4482447,4,Upper,4,1000732.94,1
Nersalen LPDE,1,4482455,5,Upper,4,1029404.37,1
Nersalen LPDE,1,4482464,6,Upper,4,854757.94,1
Nersalen LPDE,1,4482472,7,Upper,4,881239.25,1
Nersalen LPDE,1,4482481,0,Upper,5,888117.94,1
Nersalen LPDE,1,4482489,1,Upper,5,1175660.12,1
Nersalen LPDE,1,4482498,2,Upper,5,898048.69,1
Nersalen LPDE,1,4482506,3,Upper,5,1054854.50,1
Nersalen LPDE,1,4482515,4,Upper,5,999268.12,1
Nersalen LPDE,1,4482523,5,Upper,5,1023232.56,1
Nersalen LPDE,1,4482532,6,Upper,5,854223.12,1
Nersalen LPDE,1,4482540,7,Upper,5,901011.88,1
Nersalen LPDE,1,4482549,0,Upper,6,886388.25,1
Nersalen LPDE,1,4482557,1,Upper,6,1170620.12,1
Nersalen LPDE,1,4482566,2,Upper,6,895104.88,1
Nersalen LPDE,1,4482574,3,Upper,6,1057305.12,1
Nersalen LPDE,1,4482583,4,Upper,6,994899.19,1
Nersalen LPDE,1,4482591,5,Upper,6,1032518.25,1
Nersalen LPDE,1,4482600,6,Upper,6,846805.87,1
Nersalen LPDE,1,4482608,7,Upper,6,876712.31,1
Nersalen LPDE,1,4482617,0,Upper,7,887540.62,1
Nersalen LPDE,1,4482625,1,Upper,7,1170620.12,1
Nersalen LPDE,1,4482634,2,Upper,7,894518.44,1
Nersalen LPDE,1,4482642,3,Upper,7,1060590.37,1
Nersalen LPDE,1,4482651,4,Upper,7,994899.19,1
Nersalen LPDE,1,4482659,5,Upper,7,1027854.44,1
Nersalen LPDE,1,4482668,6,Upper,7,853689.06,1
Nersalen LPDE,1,4482676,7,Upper,7,878404.44,1
Nersalen LPDE,1,4482685,0,Upper,8,887540.62,1
Nersalen LPDE,1,4482693,1,Upper,8,1167616.87,1
Nersalen LPDE,1,4482702,2,Upper,8,891015.87,1
Nersalen LPDE,1,4482710,3,Upper,8,1055670.12,1
Nersalen LPDE,1,4482719,4,Upper,8,989133.06,1
Nersalen LPDE,1,4482727,5,Upper,8,1016377.19,1
Nersalen LPDE,1,4482736,6,Upper,8,851028.44,1
Nersalen LPDE,1,4482744,7,Upper,8,893347.87,1
Nersalen LPDE,1,4482753,0,Upper,9,882948.94,1
Nersalen LPDE,1,4482761,1,Upper,9,1168616.25,1
Nersalen LPDE,1,4482770,2,Upper,9,888117.94,1
Nersalen LPDE,1,4482778,3,Upper,9,1045965.25,1
Nersalen LPDE,1,4482787,4,Upper,9,987701.94,1
Nersalen LPDE,1,4482795,5,Upper,9,1014866.19,1
Nersalen LPDE,1,4482804,6,Upper,9,846805.87,1
Nersalen LPDE,1,4482812,7,Upper,9,891597.75,1
Nersalen LPDE,1,4482821,0,Upper,10,886964.06,1
Nersalen LPDE,1,4482829,1,Upper,10,1167616.87,1
Nersalen LPDE,1,4482838,2,Upper,10,893347.87,1
Nersalen LPDE,1,4482846,3,Upper,10,1049180.37,1
Nersalen LPDE,1,4482855,4,Upper,10,989133.06,1
Nersalen LPDE,1,4482863,5,Upper,10,1017134.31,1
Nersalen LPDE,1,4482872,6,Upper,10,843666.31,1
Nersalen LPDE,1,4482880,7,Upper,10,876149.75,1
Nersalen LPDE,1,4482889,0,Upper,11,882948.94,1
Nersalen LPDE,1,4482897,1,Upper,11,1165623.25,1
Nersalen LPDE,1,4482906,2,Upper,11,893932.75,1
Nersalen LPDE,1,4482914,3,Upper,11,1047570.31,1
Nersalen LPDE,1,4482923,4,Upper,11,984852.12,1
Nersalen LPDE,1,4482931,5,Upper,11,1016377.19,1
Nersalen LPDE,1,4482940,6,Upper,11,842105.25,1
Nersalen LPDE,1,4482948,7,Upper,11,876149.75,1
Nersalen LPDE,1,4482957,0,Upper,12,877275.62,1
Nersalen LPDE,1,4482965,1,Upper,12,1161656.25,1
Nersalen LPDE,1,4482974,2,Upper,12,888696.00,1
Nersalen LPDE,1,4482982,3,Upper,12,1046767.19,1
Nersalen LPDE,1,4482991,4,Upper,12,986275.00,1
Nersalen LPDE,1,4482999,5,Upper,12,1015621.12,1
Nersalen LPDE,1,4483008,6,Upper,12,841067.75,1
Nersalen LPDE,1,4483016,7,Upper,12,891015.87,1
Nersalen LPDE,1,4483025,0,Upper,13,879536.19,1
Nersalen LPDE,1,4483033,1,Upper,13,1163636.37,1
Nersalen LPDE,1,4483042,2,Upper,13,888696.00,1
Nersalen LPDE,1,4483050,3,Upper,13,1050795.25,1
Nersalen LPDE,1,4483059,4,Upper,13,980608.06,1
Nersalen LPDE,1,4483067,5,Upper,13,995624.69,1
Nersalen LPDE,1,4483076,6,Upper,13,844187.94,1
Nersalen LPDE,1,4483084,7,Upper,13,877275.62,1
Nersalen LPDE,1,4483093,0,Upper,14,879536.19,1
Nersalen LPDE,1,4483101,1,Upper,14,1170620.12,1
Nersalen LPDE,1,4483110,2,Upper,14,888117.94,1
Nersalen LPDE,1,4483118,3,Upper,14,1041179.44,1
Nersalen LPDE,1,4483127,4,Upper,14,983433.37,1
Nersalen LPDE,1,4483135,5,Upper,14,1015621.12,1
Nersalen LPDE,1,4483144,6,Upper,14,837970.56,1
Nersalen LPDE,1,4483152,7,Upper,14,888117.94,1
Nersalen LPDE,1,4483161,0,Upper,15,876149.75,1
Nersalen LPDE,1,4483169,1,Upper,15,1169617.37,1
Nersalen LPDE,1,4483178,2,Upper,15,884092.38,1
Nersalen LPDE,1,4483186,3,Upper,15,1045965.25,1
Nersalen LPDE,1,4483195,4,Upper,15,983433.37,1
Nersalen LPDE,1,4483203,5,Upper,15,1006635.56,1
Nersalen LPDE,1,4483212,6,Upper,15,846281.00,1
Nersalen LPDE,1,4483220,7,Upper,15,867796.62,1
Nersalen LPDE,1,4483229,0,Upper,16,879536.19,1
Nersalen LPDE,1,4483237,1,Upper,16,1166619.25,1
